  UID   PID  PPID   C STIME   TTY           TIME CMD
  242   800     1   0 22 825  ??         0:07.12 /usr/sbin/distnoted agent
    0   819     1   0 22 825  ??        33:41.40 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   826     1   0 22 825  ??         0:44.67 /usr/libexec/audioanalyticsd
   89   859     1   0 22 825  ??         0:07.13 /usr/sbin/distnoted agent
  501   861     1   0 22 825  ??         2:51.18 /usr/sbin/distnoted agent
    0   863     1   0 22 825  ??         0:08.58 /System/Library/CoreServices/iconservicesagent runAsRoot
    0   865     1   0 22 825  ??         0:00.44 /usr/libexec/bootinstalld
   89   866     1   0 22 825  ??         0:02.97 /usr/libexec/trustd --agent
   89   867     1   0 22 825  ??         1:10.19 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
    0   876     1   0 22 825  ??         1:10.51 /usr/sbin/spindump
    0   877     1   0 22 825  ??         0:06.82 /System/Library/CoreServices/SubmitDiagInfo server-init
    0   879     1   0 22 825  ??         4:12.79 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
  441   890     1   0 22 825  ??         0:00.54 /usr/libexec/rosetta/oahd
    0   910     1   0 22 825  ??         0:02.29 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   911     1   0 22 825  ??         0:00.05 /usr/libexec/applekeystored
  501   916     1   0 22 825  ??         6:26.78 /usr/libexec/secd
    0   917     1   0 22 825  ??         0:00.08 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  501   918     1   0 22 825  ??         3:15.59 /usr/sbin/cfprefsd agent
  501   919     1   0 22 825  ??         4:16.24 /usr/libexec/UserEventAgent (Aqua)
  247   920     1   0 22 825  ??         0:09.03 /usr/libexec/gamecontrollerd
  260   921     1   0 22 825  ??         0:03.87 /usr/libexec/seld
  501   923     1   0 22 825  ??         0:23.95 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501   924     1   0 22 825  ??         0:13.46 /usr/sbin/universalaccessd launchd -s
  501   926     1   0 22 825  ??         2:49.90 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   927     1   0 22 825  ??         0:16.27 /usr/libexec/pboard
  501   928     1   0 22 825  ??         0:04.49 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  501   929     1   0 22 825  ??         4:25.44 /usr/libexec/lsd
  501   930     1   0 22 825  ??         2:10.80 /usr/libexec/triald
  501   931     1   0 22 825  ??         0:02.85 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  501   933     1   0 22 825  ??         0:21.32 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   934     1   0 22 825  ??         5:25.38 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   935     1   0 22 825  ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  501   936     1   0 22 825  ??         6:32.14 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   937     1   0 22 825  ??         0:12.61 /usr/libexec/neagent
  501   938     1   0 22 825  ??         0:10.42 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   939     1   0 22 825  ??         0:00.05 /System/Library/CoreServices/APFSUserAgent
  501   941     1   0 22 825  ??         2:28.10 /usr/libexec/nsurlsessiond
  501   942     1   0 22 825  ??         2:16.66 /usr/libexec/rapportd
  501   943     1   0 22 825  ??         0:14.44 /usr/sbin/usernoted
  501   944     1   0 22 825  ??         5:59.27 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501   945     1   0 22 825  ??         0:55.17 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501   946     1   0 22 825  ??         0:38.87 /System/Library/CoreServices/lockoutagent
  501   947     1   0 22 825  ??         0:49.66 /usr/libexec/secinitd
  501   948     1   0 22 825  ??         0:07.16 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501   949     1   0 22 825  ??         0:47.70 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501   950     1   0 22 825  ??         7:06.30 /usr/libexec/trustd --agent
  501   951     1   0 22 825  ??         0:39.67 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501   952     1   0 22 825  ??         8:30.35 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   953     1   0 22 825  ??         0:02.91 /usr/libexec/dmd
  501   954     1   0 22 825  ??         3:30.64 /usr/libexec/networkserviceproxy
  501   955     1   0 22 825  ??         0:27.61 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501   958     1   0 22 825  ??         0:00.03 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
  501   960     1   0 22 825  ??         1:06.67 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501   961     1   0 22 825  ??         1:14.98 /usr/libexec/knowledge-agent
  501   964     1   0 22 825  ??         0:11.68 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  501   965     1   0 22 825  ??         0:45.72 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  501   966     1   0 22 825  ??         0:05.24 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501   967     1   0 22 825  ??         0:07.03 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   968     1   0 22 825  ??         0:01.77 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
    0   969     1   0 22 825  ??         0:00.65 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  501   970     1   0 22 825  ??         0:09.36 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   971     1   0 22 825  ??         0:14.37 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501   972     1   0 22 825  ??         0:17.41 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
  501   973     1   0 22 825  ??         7:26.81 /usr/libexec/sharingd
  501   974     1   0 22 825  ??         0:39.83 /usr/libexec/linkd
  501   975     1   0 22 825  ??         2:42.59 /usr/libexec/siriknowledged
  501   976     1   0 22 825  ??         0:08.72 /System/Library/Frameworks/FinanceKit.framework/financed
